event_name,user_pseudo_id,item_id,item_name
select_item,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
select_item,37B0EA34087546FD870F1863C0E3C7C7,1381,Chinese Wok Dinner
select_item,37B0EA34087546FD870F1863C0E3C7C7,1393,Java Dinner
select_item,37B0EA34087546FD870F1863C0E3C7C7,1406,Salad Dinner (Kulina x Sayurbox)
select_item,37B0EA34087546FD870F1863C0E3C7C7,1499,Salad by Kulina x Sayur Box Dinner
select_item,37B0EA34087546FD870F1863C0E3C7C7,1460,D'Dinner
select_item,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,1454,Basic Dinner
select_item,3C061DD1EB0E492A8EF8A294385FD2EE,13386,Nasi Ayam Goreng Pandan
select_item,3C061DD1EB0E492A8EF8A294385FD2EE,5533,Potato and Beef Blackpepper
select_item,3C1C85DE645147ACA354D946CB68F93E,13289,Crispy Chicken Teriyaki
select_item,3C1C85DE645147ACA354D946CB68F93E,13381,Nasi Ayam Saus Telur Asin
select_item,3C1C85DE645147ACA354D946CB68F93E,13245,Nasi Dori Sambal Matah
select_item,3C1C85DE645147ACA354D946CB68F93E,13388,Nasi Fuyunghai
select_item,3DB71F3E9021432AAFD8231B417FC30F,1060,Masakn Makassar KHAS CUCUN
select_item,3DB71F3E9021432AAFD8231B417FC30F,102,LET’S TOAST
select_item,3DB71F3E9021432AAFD8231B417FC30F,464, Jajanan Joshie
select_item,3DB71F3E9021432AAFD8231B417FC30F,271,ombo food
select_item,3DB71F3E9021432AAFD8231B417FC30F,1002,Nasi Uduk Jelambar
select_item,4448BD1466E1407EB31D0F42BF8F6008,20,Healthy Lunch
select_item,49ADE0FD936241098511664D95B319EB,695,Nasi Bistik Ayam
select_item,49ADE0FD936241098511664D95B319EB,13245,Nasi Dori Sambal Matah
add_to_cart,49ADE0FD936241098511664D95B319EB,13245,Nasi Dori Sambal Matah
select_item,49ADE0FD936241098511664D95B319EB,837,Nasi Merah Ayam Goreng Mentega
add_to_cart,49ADE0FD936241098511664D95B319EB,837,Nasi Merah Ayam Goreng Mentega
select_item,49ADE0FD936241098511664D95B319EB,4141,Nasi Merah Ikan Asam Manis
select_item,49ADE0FD936241098511664D95B319EB,865,Nasi Merah Udang Saus Padang
add_to_cart,49ADE0FD936241098511664D95B319EB,865,Nasi Merah Udang Saus Padang
select_item,5369DC2E0DE04319980D804747A0004F,28,Pink Lunch
select_item,5369DC2E0DE04319980D804747A0004F,61,Java Lunch
select_item,5369DC2E0DE04319980D804747A0004F,11422,Nasi Ayam Serundeng
add_to_cart,5369DC2E0DE04319980D804747A0004F,11422,Nasi Ayam Serundeng
begin_checkout,5369DC2E0DE04319980D804747A0004F,14923,Nasi Ayam Serundeng
select_item,5369DC2E0DE04319980D804747A0004F,13246,Nasi Ayam Rica-rica
select_item,5369DC2E0DE04319980D804747A0004F,13386,Nasi Ayam Goreng Pandan
select_item,5369DC2E0DE04319980D804747A0004F,4342,Nasi Goreng Telur Bakso
select_item,5369DC2E0DE04319980D804747A0004F,1857,Ayam Geprek Sambal Bawang
add_to_cart,5369DC2E0DE04319980D804747A0004F,1857,Ayam Geprek Sambal Bawang
begin_checkout,5369DC2E0DE04319980D804747A0004F,8668,Ayam Geprek Sambal Bawang
select_item,59289C585CE64576BB8ED19D0F4D2EAC,153,Chick & Meat Frozen Food Tebet
select_item,59289C585CE64576BB8ED19D0F4D2EAC,385,Kims Recipe Duren Sawit
select_item,59289C585CE64576BB8ED19D0F4D2EAC,153,Chick & Meat Frozen Food Tebet
select_item,5A20EDB28E9E4549904723C0C447D40F,5526,"Spaghetti Bolognese, Honey Glazed Chicken & Salad"
add_to_cart,5A20EDB28E9E4549904723C0C447D40F,5526,"Spaghetti Bolognese, Honey Glazed Chicken & Salad"
begin_checkout,5A20EDB28E9E4549904723C0C447D40F,2378,"Spaghetti Bolognese, Honey Glazed Chicken & Salad"
select_item,5E583B935F604415A28F4AA16CA9756F,198,Bento Sushi Love Karage Mentai
add_to_cart,5E583B935F604415A28F4AA16CA9756F,198,Bento Sushi Love Karage Mentai
select_item,5E583B935F604415A28F4AA16CA9756F,5520,Onigiri Seafood Tempura
select_item,5E583B935F604415A28F4AA16CA9756F,11424,Nasi Ayam Sambal Matah
add_to_cart,5E583B935F604415A28F4AA16CA9756F,11424,Nasi Ayam Sambal Matah
